Location,MinTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Cloud9am,Cloud3pm,Temp3pm,Month,RainTomorrow
19,18.1,0.0,6.8,11.9,4.0,48.0,14.0,4.0,11.0,26.0,61.0,43.0,1021.6,0.0,1.0,29.4,10,0
14,10.2,0.0,5.6,12.6,8.0,43.0,6.0,8.0,19.0,28.0,51.0,42.0,1021.4,2.0,7.0,19.3,1,0
20,16.6,0.0,3.2,10.6,7.5,37.96875,13.0,4.0,13.0,11.0,68.0,50.0,1020.6,1.0,1.0,26.5,4,0
14,17.8,0.0,6.6,11.1,11.0,52.0,10.0,12.0,24.0,17.0,46.0,22.0,1008.4,4.0,6.0,32.8,1,0
18,13.2,0.0,13.8,12.7,7.0,37.0,6.0,8.0,13.0,17.0,61.0,35.0,1020.4,3.0,1.0,25.3,2,0
25,18.8,0.4,7.2,7.1,0.0,48.0,2.0,0.0,20.0,28.0,64.0,66.0,1023.8,2.0,6.0,21.6,4,0
0,5.7,0.0,5.0,8.1,8.0,30.0,7.0,6.0,13.0,11.0,70.0,39.0,1025.2,1.0,1.0,18.6,5,0
10,5.5,0.0,2.0,10.2,1.0,31.0,1.0,10.0,19.0,7.0,71.0,52.0,1027.3,7.0,5.0,15.9,8,0
6,14.4,0.0,4.4,10.2,2.0,22.0,1.0,9.0,9.0,7.0,75.0,37.0,1025.3,7.0,2.0,26.8,3,0
25,20.4,0.0,5.2,11.2,3.0,41.0,2.0,3.0,19.0,24.0,78.0,75.0,1014.0,6.0,5.0,23.1,2,0
11,16.6,0.0,7.8,13.1,7.0,31.0,0.0,5.0,13.0,19.0,50.0,42.0,1012.4,0.0,1.0,27.9,12,0
4,7.7,0.0,4.6,11.0,10.0,41.0,4.0,4.0,30.0,11.0,60.0,50.5,1029.0,3.0,2.0,21.5,9,0
26,13.0,0.0,8.6,12.7,7.0,43.0,2.0,7.0,15.0,24.0,65.0,37.0,1018.1,4.5,4.5,26.5,1,0
14,13.7,0.0,9.4,7.7,6.0,35.0,13.0,6.0,9.0,26.0,80.0,31.0,1013.0,4.0,2.0,28.9,2,0
27,16.4,0.0,5.8,10.0,0.0,37.0,8.0,2.0,17.0,28.0,53.0,51.0,1019.5,1.0,2.0,27.1,8,0
23,12.3,0.0,1.0,6.4,7.5,37.96875,13.0,13.0,4.0,6.0,88.0,58.0,1026.3,6.0,5.0,19.5,6,0
2,18.4,0.0,8.0,10.1,14.0,30.0,1.0,12.0,11.0,13.0,26.0,11.0,1019.8,1.0,5.0,38.9,2,0
26,8.0,0.0,5.2,10.7,5.0,33.0,1.0,5.0,7.0,15.0,82.0,67.0,1012.3,4.5,4.5,21.2,3,0
10,2.8,0.0,5.2,12.8,13.0,37.0,4.0,5.0,15.0,13.0,73.0,27.0,1020.3,1.0,4.5,23.9,11,0
28,5.9,0.0,1.8,8.9,9.0,39.0,9.0,10.0,9.0,11.0,70.0,51.0,1014.9,0.0,5.0,15.6,7,0
18,13.3,0.0,8.4,0.5,7.0,35.0,8.0,7.0,11.0,19.0,79.0,61.0,1012.7,8.0,8.0,18.0,11,0
21,24.8,0.0,5.2,10.5,12.0,33.0,11.0,12.0,11.0,22.0,68.0,47.0,1011.1,4.0,3.0,32.5,11,0
12,12.0,0.0,6.922463768115942,12.7,6.0,43.0,3.0,5.0,7.0,17.0,62.0,43.0,1019.9,4.5,4.5,22.9,2,0
27,19.5,0.4,5.2,2.7,8.0,33.0,8.0,6.0,15.0,19.0,94.0,72.0,1016.5,8.0,6.0,24.3,7,0
11,18.0,0.0,7.8,9.1,9.0,39.0,7.0,7.0,15.0,19.0,52.0,53.0,1013.8,7.0,7.0,21.9,11,0
18,5.2,0.0,3.0,7.7,5.0,28.0,4.0,5.0,2.0,15.0,95.0,54.0,1020.3,7.0,6.0,15.6,8,0
27,23.3,0.4,7.0,10.6,8.0,37.0,8.0,1.0,13.0,20.0,73.0,70.0,1010.6,2.0,2.0,30.0,2,0
20,14.9,0.0,6.0,9.3,7.5,37.96875,13.0,2.0,15.0,19.0,77.0,62.0,1021.9,6.0,3.0,23.3,4,0
2,3.1,0.0,5.0,11.2,11.0,24.0,1.0,11.0,11.0,11.0,62.0,27.0,1024.0,2.0,4.5,20.7,10,0
9,19.8,0.0,6.6,9.8,0.0,63.0,6.0,0.0,11.0,24.0,60.0,43.0,1017.8,3.0,3.0,29.4,3,0
23,11.8,0.4,0.0,5.5,7.5,37.96875,11.0,12.0,6.0,7.0,89.0,74.0,1024.2,7.0,7.0,17.6,6,0
21,24.9,1.0,5.4,9.9,15.0,28.0,2.0,14.0,2.0,20.0,63.0,47.0,1011.3,2.0,2.0,33.8,12,0
27,24.1,0.0,5.4,7.8,10.0,28.0,10.0,4.0,7.0,9.0,68.0,71.0,1008.0,2.0,7.0,29.1,12,0
7,20.2,0.0,8.8,12.2,11.0,31.0,14.0,10.0,13.0,17.0,61.0,51.0,1011.4,1.0,1.0,28.9,11,0
29,10.0,0.0,6.6,10.1,3.0,31.0,0.0,2.0,13.0,13.0,81.0,55.0,1021.0,8.0,5.0,22.0,10,0
17,6.4,0.0,0.4,3.9,9.0,57.0,10.0,9.0,13.0,31.0,69.0,55.0,1004.5,6.0,5.0,10.8,8,0
8,-1.2,0.0,2.6,9.4,7.5,37.96875,7.5,15.0,0.0,31.0,81.0,39.0,1026.8,1.0,1.0,17.3,8,0
14,14.7,0.0,4.0,3.9,5.0,50.0,9.0,8.0,20.0,22.0,72.0,65.0,1017.0,7.0,7.0,19.8,4,0
4,2.7,0.0,6.8,11.3,7.0,28.0,8.0,8.0,13.0,13.0,53.0,32.0,1022.6,0.0,2.0,20.9,9,0
5,14.4,0.0,6.922463768115942,10.5,3.0,39.0,3.0,6.0,11.0,15.0,59.0,33.0,1018.4,2.0,0.0,26.6,4,0
4,6.2,0.0,5.4,8.7,5.0,52.0,9.0,9.0,28.0,33.0,53.0,38.0,1016.3,1.0,4.0,17.2,5,0
25,14.5,0.0,4.8,4.8,6.0,28.0,3.0,3.0,11.0,13.0,57.0,59.0,1024.6,7.0,6.0,17.7,9,0
14,12.4,0.6,6.2,0.8,3.0,41.0,7.0,8.0,17.0,28.0,91.0,58.0,1014.8,7.0,7.0,17.9,3,0
27,21.8,0.0,7.4,10.9,3.0,35.0,6.0,3.0,19.0,24.0,68.0,47.0,1016.5,1.0,5.0,30.0,4,0
9,9.1,0.2,5.6,11.4,13.0,39.0,15.0,5.0,7.0,20.0,66.0,50.0,1019.3,3.0,3.0,22.0,10,0
17,11.0,0.0,3.0,12.4,8.0,33.0,11.0,3.0,13.0,19.0,66.0,47.0,1014.1,4.5,4.5,21.9,12,0
29,13.5,0.0,6.6,13.6,3.0,39.0,2.0,3.0,17.0,24.0,72.0,69.0,1021.3,6.0,4.0,20.7,1,0
17,8.8,0.0,3.6,3.9,12.0,30.0,12.0,14.0,13.0,9.0,71.0,47.0,1028.5,7.0,6.0,19.0,4,0
26,8.8,1.0,2.8,10.1,8.0,41.0,8.0,6.0,17.0,22.0,87.0,60.0,1017.6,4.5,4.5,16.1,11,0
16,7.5,0.0,1.0,4.1,8.0,43.0,8.0,8.0,17.0,31.0,73.0,58.0,1018.2,4.5,4.5,15.1,8,0
9,20.2,0.0,10.2,11.9,0.0,54.0,1.0,8.0,24.0,9.0,28.0,26.0,1013.1,2.0,3.0,36.3,12,0
24,12.2,1.8,1.8,3.0,7.0,41.0,7.0,8.0,20.0,28.0,61.0,58.0,1020.2,7.0,7.0,16.3,3,0
19,8.4,0.0,4.0,9.7,4.0,35.0,12.0,4.0,13.0,26.0,56.0,39.0,1024.0,1.0,6.0,18.5,8,0
13,13.6,0.2,3.8,3.3,13.0,57.0,0.0,2.0,26.0,24.0,93.0,72.0,1011.3,8.0,7.0,19.0,11,0
16,8.1,0.0,2.2,6.8,5.0,28.0,5.0,9.0,15.0,13.0,65.0,45.0,1028.2,5.0,7.0,15.7,10,0
1,12.0,0.0,7.4,11.2,8.0,39.0,13.0,6.0,2.0,17.0,24.0,12.0,1020.2,0.0,1.0,29.3,4,0
2,9.4,0.0,10.6,10.7,9.0,48.0,9.0,13.0,24.0,30.0,56.0,22.0,1015.1,2.0,4.0,18.6,9,0
5,13.5,0.0,6.922463768115942,13.2,9.0,41.0,2.0,6.0,22.0,19.0,47.0,19.0,1015.5,4.5,4.5,31.7,1,0
13,12.6,0.0,7.6,12.9,0.0,48.0,1.0,0.0,11.0,35.0,76.0,54.0,1022.0,1.0,1.0,24.2,1,0
11,15.2,0.0,9.0,13.1,5.0,44.0,8.0,7.0,9.0,24.0,45.0,45.0,1016.1,0.0,1.0,25.4,11,0
15,17.3,0.4,5.2,2.1,0.0,30.0,6.0,0.0,7.0,7.0,79.0,67.0,1021.8,7.0,7.0,23.0,4,0
9,8.9,0.0,2.8,9.8,11.0,35.0,10.0,14.0,19.0,13.0,45.0,18.0,1031.2,0.0,0.0,23.6,8,0
29,3.5,0.2,4.6,12.0,13.0,41.0,13.0,13.0,24.0,24.0,61.0,65.0,1026.3,7.0,4.5,15.6,10,0
9,19.5,0.0,10.8,12.7,5.0,48.0,2.0,5.0,15.0,35.0,49.0,40.0,1012.3,0.0,0.0,29.0,2,0
22,9.6,0.0,2.4,0.7,11.0,17.0,14.0,11.0,6.0,11.0,80.0,82.0,1031.8,7.0,8.0,16.0,6,0
24,11.2,0.0,4.8,12.7,8.0,37.0,1.0,11.0,19.0,9.0,75.0,22.0,1019.6,0.0,3.0,30.6,2,0
26,13.0,0.0,4.4,12.4,3.0,44.0,3.0,3.0,24.0,26.0,75.0,50.0,1024.6,4.5,4.5,22.9,2,0
5,11.6,0.0,6.922463768115942,9.3,0.0,48.0,3.0,3.0,15.0,20.0,69.0,55.0,1025.6,4.5,2.0,16.4,6,0
17,12.7,0.0,7.2,6.4,15.0,56.0,11.0,12.0,22.0,26.0,55.0,29.0,1010.9,7.0,6.0,24.6,1,0
5,19.3,0.0,6.922463768115942,0.4,9.0,37.0,7.5,9.0,16.68421052631579,20.0,60.0,38.0,1018.5500000000002,4.5,4.5,30.9,3,0
7,21.3,0.0,6.8,10.2,0.0,43.0,3.0,1.0,13.0,28.0,68.0,59.0,1013.2,5.0,7.0,28.7,4,0
27,19.9,0.0,6.0,6.0,3.0,48.0,6.0,2.0,19.0,28.0,69.0,50.0,1014.9,2.0,6.0,28.3,5,0
2,0.9,0.2,1.2,8.1,13.0,28.0,11.0,15.0,6.0,13.0,99.0,48.0,1027.8,0.0,4.5,15.7,6,0
11,19.1,0.0,12.0,13.3,7.0,35.0,2.0,7.0,13.0,20.0,38.0,40.0,1016.6,0.0,0.0,30.3,12,0
16,10.7,0.8,1.2,6.2,3.0,20.0,12.0,5.0,2.0,2.0,86.0,62.0,1024.4,7.0,7.0,19.8,5,0
10,7.7,1.4,4.0,4.1,5.0,35.0,13.0,9.0,15.0,19.0,96.0,57.0,1022.8,8.0,4.5,14.3,10,0
23,17.4,0.0,8.2,7.8,7.5,37.96875,3.0,7.5,9.0,19.454545454545453,67.0,50.5,1016.0,5.0,4.5,23.83839779005525,1,0
3,9.0,0.0,3.4,10.2,9.0,33.0,0.0,9.0,2.0,20.0,45.0,30.0,1019.1,1.0,4.0,19.7,5,0
9,7.8,0.0,3.2,9.7,1.0,22.0,4.0,11.0,13.0,6.0,77.0,49.0,1027.2,1.0,1.0,20.9,8,0
4,14.0,1.4,8.2,6.1,9.0,41.0,2.0,6.0,7.0,2.0,62.0,39.0,1016.6,6.0,3.0,26.0,9,0
15,12.0,0.2,5.6,8.6,0.0,37.0,5.0,2.0,4.0,17.0,75.0,53.0,1029.6,6.0,4.0,21.0,8,0
11,6.0,0.0,2.2,7.1,4.0,28.0,2.0,2.0,7.0,9.0,67.0,47.0,1034.3,7.0,1.0,16.6,8,0
11,8.9,0.0,3.0,10.4,5.0,35.0,6.0,5.0,15.0,17.0,58.0,55.0,1024.6,2.0,1.0,19.8,10,0
19,19.9,0.0,8.0,7.3,7.0,37.0,8.0,3.0,20.0,28.0,75.0,59.0,1007.8,6.0,6.0,24.3,1,0
11,6.4,1.4,2.4,7.7,9.0,31.0,10.0,9.0,7.0,15.0,70.0,51.0,1018.7,2.0,5.0,17.9,9,0
0,14.5,0.0,12.0,12.5,14.0,35.0,1.0,11.0,17.0,15.0,43.0,8.0,1013.7,0.0,3.0,32.7,11,0
25,15.0,0.2,3.0,9.4,13.0,31.0,13.0,9.0,19.0,19.0,61.0,57.0,1015.7,2.0,7.0,19.6,5,0
11,9.2,0.0,5.2,6.2,5.0,28.0,7.5,9.0,0.0,6.0,63.0,61.0,1019.8,7.0,7.0,19.6,4,0
0,16.1,0.0,11.0,10.0,6.0,33.0,6.0,8.0,19.0,15.0,71.0,26.0,1016.2,7.0,4.5,26.9,3,0
25,21.7,0.0,5.4,9.7,0.0,35.0,2.0,2.0,17.0,19.0,80.0,78.0,1021.8,3.0,3.0,24.2,3,0
24,8.2,0.0,0.6,4.1,11.0,31.0,4.0,12.0,13.0,13.0,93.0,80.0,1024.8,8.0,5.0,12.1,7,0
0,12.6,0.0,8.0,10.0,8.0,39.0,2.0,8.0,11.0,13.0,32.0,16.0,1020.6,4.0,6.0,26.2,4,0
6,1.4,0.0,2.2,6.4,1.0,11.0,0.0,3.0,6.0,2.0,100.0,61.0,1023.3,8.0,1.0,15.0,5,0
10,16.4,0.0,10.6,3.1,13.0,52.0,11.0,15.0,15.0,30.0,27.0,24.0,1001.9,8.0,6.0,30.3,1,0
11,20.5,0.0,4.0,10.7,7.0,43.0,5.0,5.0,11.0,20.0,77.0,59.0,1008.8,7.0,2.0,24.4,11,0
9,5.8,0.0,5.8,11.3,9.0,48.0,5.0,9.0,17.0,28.0,45.0,41.0,1009.6,3.0,5.0,22.2,12,0
1,7.9,0.0,4.0,10.5,8.0,37.0,9.0,7.0,9.0,24.0,72.0,34.0,1019.7,3.0,6.0,21.2,5,0
25,20.7,0.0,6.8,12.2,10.0,37.0,11.0,14.0,19.0,19.0,73.0,70.0,1016.9,4.0,7.0,24.2,1,0
9,13.5,0.0,6.2,12.4,5.0,41.0,9.0,9.0,15.0,26.0,43.0,42.0,1015.7,1.0,2.0,22.9,12,0
17,13.5,0.0,4.8,7.6,14.0,59.0,14.0,14.0,22.0,28.0,47.0,40.0,1013.9,2.0,6.0,18.9,4,0
8,3.9,0.0,4.0,9.5,14.0,44.0,12.0,12.0,17.0,30.0,74.0,44.0,1018.6,7.0,5.0,16.5,9,0
20,9.9,0.0,2.8,9.8,7.5,37.96875,13.0,15.0,17.0,6.0,69.0,43.0,1024.6,1.0,0.0,19.4,6,0
11,18.1,0.0,10.8,13.1,3.0,35.0,0.0,5.0,11.0,15.0,50.0,31.0,1012.8,1.0,0.0,33.8,1,0
24,6.8,0.0,5.4,13.4,7.0,35.0,2.0,7.0,15.0,24.0,50.0,37.0,1024.7,1.0,3.0,22.6,1,0
19,17.3,0.0,4.0,11.1,4.0,46.0,15.0,1.0,9.0,30.0,68.0,49.0,1022.3,1.0,1.0,25.7,3,0
22,21.6,0.0,6.6,1.8,8.0,39.0,5.0,8.0,9.0,30.0,86.0,77.0,1013.6,7.0,7.0,23.6,2,0
4,6.8,0.0,2.6,10.0,3.0,35.0,6.0,14.0,17.0,9.0,58.0,38.0,1020.7,1.0,1.0,17.8,6,0
1,20.4,0.0,12.8,12.2,2.0,43.0,1.0,2.0,20.0,15.0,28.0,13.0,1013.3,7.0,6.0,34.7,12,0
17,5.1,0.0,2.2,3.8,14.0,50.0,12.0,11.0,17.0,19.0,64.0,53.0,1021.5,4.5,4.5,16.8,9,0
6,7.0,0.0,3.4,12.5,9.0,26.0,1.0,9.0,9.0,13.0,76.0,31.0,1018.4,1.0,1.0,23.4,10,0
27,16.4,0.0,1.4,10.7,4.0,26.0,3.0,4.0,17.0,19.0,69.0,64.0,1015.3,1.0,5.0,25.5,7,0
24,19.0,0.0,9.6,13.1,10.0,44.0,10.0,1.0,28.0,22.0,33.0,16.0,1016.5,1.0,1.0,36.9,1,0
3,7.8,0.0,6.0,10.8,5.0,37.0,7.0,5.0,15.0,22.0,47.0,28.0,1021.2,0.0,1.0,17.3,8,0
19,10.8,0.0,3.0,0.7,9.0,46.0,15.0,9.0,13.0,24.0,63.0,39.0,1018.3,7.0,7.0,17.5,5,0
10,12.2,0.0,10.6,12.0,3.0,48.0,2.0,2.0,19.0,7.0,61.0,25.0,1022.7,4.5,5.0,25.8,1,0
23,10.6,0.2,2.6,0.9,7.5,37.96875,14.0,14.0,11.0,11.0,72.0,88.0,1025.3,8.0,8.0,17.5,8,0
15,12.4,0.0,3.4,7.7,6.0,24.0,7.0,6.0,4.0,6.0,67.0,55.0,1019.5,5.0,7.0,21.6,8,0
25,13.8,1.8,3.2,7.3,0.0,57.0,2.0,2.0,28.0,26.0,66.0,61.0,1029.5,6.0,5.0,17.4,5,0
22,20.0,0.0,6.6,12.6,4.0,43.0,10.0,4.0,26.0,22.0,62.0,56.0,1017.0,6.0,6.0,30.2,12,0
23,17.5,0.0,8.0,9.6,7.5,37.96875,6.0,8.0,4.0,19.0,70.0,64.0,1022.6,6.0,3.0,23.5,2,0
16,11.3,0.0,1.8,2.8,11.0,44.0,11.0,11.0,22.0,30.0,78.0,68.0,1017.6,4.5,4.5,15.0,6,0
14,13.3,0.0,4.8,10.0,3.0,33.0,6.0,8.0,13.0,20.0,63.0,48.0,1021.0,7.0,1.0,21.4,1,0
9,14.9,0.6,6.4,12.0,0.0,48.0,0.0,0.0,22.0,15.0,55.0,34.0,1019.0,2.0,1.0,27.7,10,0
7,24.5,0.0,11.2,11.7,4.0,39.0,4.0,1.0,20.0,28.0,54.0,46.0,1019.0,3.0,2.0,29.0,10,0
4,8.6,0.0,2.6,0.8,0.0,31.0,0.0,0.0,9.0,17.0,70.0,54.0,1028.5,7.0,7.0,19.2,5,0
1,12.1,0.2,1.2,8.0,2.0,44.0,2.0,6.0,20.0,24.0,64.0,39.0,1015.2,6.0,7.0,24.0,11,0
2,12.4,0.0,10.2,11.6,7.0,31.0,8.0,7.0,15.0,15.0,58.0,27.0,1021.7,0.0,0.0,26.4,12,0
11,14.7,0.0,11.4,13.2,2.0,46.0,0.0,2.0,17.0,15.0,40.0,22.0,1017.8,0.0,0.0,32.5,11,0
29,9.2,0.0,3.4,10.3,3.0,28.0,3.0,2.0,11.0,17.0,64.0,60.0,1030.0,7.0,4.5,15.9,10,0
23,8.4,0.0,2.6,10.7,7.5,37.96875,8.0,7.5,4.0,0.0,76.0,46.0,1020.4,4.0,5.0,21.4,8,0
28,20.7,0.0,5.8,10.4,1.0,33.0,12.0,1.0,7.0,24.0,69.0,55.0,1019.1,6.0,3.0,28.1,1,0
7,23.3,0.0,9.6,11.6,4.0,41.0,3.0,1.0,13.0,31.0,57.0,55.0,1010.6,5.0,4.0,30.1,1,0
7,9.0,0.0,7.2,9.9,8.0,39.0,7.0,4.0,2.0,19.0,60.0,32.0,1019.2,0.0,1.0,24.2,7,0
20,15.4,0.0,5.4,9.8,7.5,37.96875,7.5,7.5,0.0,0.0,62.0,56.0,1022.0,5.0,1.0,21.1,10,0
17,8.5,0.0,3.0,9.7,12.0,39.0,12.0,4.0,17.0,13.0,61.0,33.0,1029.9,1.0,6.0,20.9,4,0
6,4.6,0.0,1.0,2.7,10.0,31.0,0.0,10.0,7.0,17.0,82.0,57.0,1017.4,7.0,7.0,12.5,7,0
27,17.5,0.0,4.0,11.3,10.0,24.0,8.0,11.0,4.0,11.0,57.0,50.0,1016.1,1.0,1.0,29.0,4,0
7,19.4,0.0,7.2,5.3,0.0,44.0,6.0,0.0,15.0,33.0,58.0,52.0,1018.6,7.0,7.0,27.6,5,0
22,19.4,0.2,7.0,0.8,3.0,37.0,4.0,0.0,15.0,15.0,83.0,56.0,1023.4,8.0,7.0,24.3,2,0
18,17.0,0.6,4.2,6.6,1.0,20.0,5.0,4.0,6.0,9.0,65.0,58.0,1017.7,7.0,7.0,22.4,1,0
5,16.1,0.2,6.922463768115942,3.5,7.0,30.0,6.0,8.0,6.0,13.0,77.0,48.0,1016.7,7.0,7.0,24.5,3,0
2,12.9,0.0,7.0,6.6,3.0,43.0,6.0,3.0,22.0,22.0,45.0,14.0,1024.0,2.0,7.0,26.5,11,0
11,15.8,0.0,10.2,9.1,5.0,33.0,1.0,7.0,17.0,15.0,34.0,27.0,1015.6,6.0,7.0,32.9,12,0
25,19.6,0.0,8.8,6.3,3.0,39.0,3.0,3.0,22.0,24.0,74.0,57.0,1019.1,6.0,2.0,23.1,2,0
11,20.3,0.2,2.2,11.1,7.0,28.0,3.0,7.0,6.0,17.0,66.0,45.0,1016.2,2.0,1.0,32.6,3,0
21,17.6,0.0,6.0,11.1,0.0,33.0,0.0,12.0,19.0,20.0,56.0,41.0,1016.3,2.0,4.0,28.3,8,0
22,14.0,0.0,2.8,7.5,15.0,54.0,10.0,15.0,13.0,28.0,68.0,31.0,1011.0,4.0,2.0,26.0,9,0
20,11.8,0.0,4.2,11.4,7.5,37.96875,13.0,0.0,7.0,19.0,64.0,42.0,1025.5,1.0,1.0,20.3,10,0
4,5.2,0.2,1.4,9.2,9.0,28.0,7.5,5.0,0.0,11.0,96.0,43.0,1021.9,2.0,1.0,18.4,6,0
21,23.4,0.0,5.2,10.5,0.0,46.0,3.0,0.0,17.0,28.0,60.0,38.0,1013.2,2.0,2.0,32.3,5,0
26,4.5,0.0,6.2,10.0,14.0,43.0,11.0,14.0,6.0,22.0,53.0,22.0,1022.4,4.5,4.5,26.8,4,0
14,10.4,0.0,6.4,7.9,11.0,52.0,11.0,14.0,28.0,20.0,38.0,14.0,1012.6,6.0,5.0,33.4,11,0
5,-0.8,0.2,6.922463768115942,5.5,7.0,30.0,0.0,7.0,11.0,11.0,70.0,57.0,1031.6,0.0,7.0,14.9,7,0
12,8.0,0.0,5.4,12.8,9.0,30.0,1.0,9.0,9.0,17.0,52.0,42.0,1025.6,4.5,4.5,21.2,10,0
2,16.0,0.0,10.6,13.3,9.0,67.0,15.0,5.0,17.0,33.0,31.0,39.0,1006.3,1.0,3.0,26.0,12,0
15,11.6,0.0,3.6,2.2,3.0,22.0,5.0,3.0,6.0,9.0,69.0,57.0,1027.8,6.0,7.0,20.2,7,0
7,18.7,0.0,4.8,5.6,2.0,35.0,3.0,1.0,13.0,24.0,66.0,60.0,1018.6,7.0,6.0,24.4,7,0
13,7.4,0.0,5.8,12.7,0.0,37.0,0.0,0.0,9.0,28.0,63.0,48.0,1018.9,1.0,4.0,22.5,1,0
11,13.5,0.0,10.8,11.2,1.0,43.0,0.0,1.0,17.0,17.0,40.0,16.0,1016.8,1.0,5.0,30.9,12,0
2,5.6,0.0,6.2,11.6,7.0,33.0,7.0,13.0,13.0,17.0,55.0,31.0,1023.9,1.0,1.0,20.2,10,0
7,22.8,0.8,10.2,8.6,1.0,52.0,3.0,0.0,20.0,33.0,59.0,46.0,1020.0,3.0,3.0,30.3,4,0
21,28.2,0.0,8.0,9.6,14.0,37.0,15.0,15.0,19.0,24.0,73.0,67.0,1004.6,7.0,7.0,31.9,1,0
3,21.0,0.0,6.8,10.3,11.0,31.0,1.0,15.0,19.0,9.0,60.0,36.0,1018.0,2.0,6.0,30.9,4,0
25,14.2,0.0,3.0,9.6,3.0,26.0,0.0,12.0,6.0,9.0,46.0,44.0,1015.5,3.0,1.0,21.2,5,0
2,13.0,0.0,5.4,7.7,2.0,22.0,3.0,3.0,15.0,11.0,66.0,47.0,1016.4,7.0,7.0,20.7,11,0
11,20.6,0.0,11.2,13.1,5.0,43.0,3.0,5.0,9.0,19.0,45.0,38.0,1021.4,0.0,5.0,32.1,1,0
26,7.2,0.0,2.2,10.8,12.0,28.0,12.0,15.0,9.0,13.0,100.0,61.0,1018.0,4.5,4.5,19.3,10,0
16,5.9,0.0,3.2,10.4,6.0,31.0,9.0,0.0,9.0,13.0,72.0,38.0,1030.1,1.0,3.0,18.1,10,0
5,4.6,0.0,6.922463768115942,11.4,7.0,46.0,7.0,5.0,15.0,28.0,47.0,33.0,1018.4,0.0,0.0,22.8,10,0
18,12.5,0.0,4.2,10.4,5.0,20.0,4.0,5.0,9.0,11.0,84.0,51.0,1020.0,4.0,5.0,23.9,2,0
