Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,Month,RainTomorrow
7,18.2,28.4,0.0,6.0,10.5,1,41.0,0,1,20.0,28.0,64.0,65.0,1017.3,1013.7,3.0,2.0,26.1,26.0,0,9,No
4,14.5,26.9,0.0,5.4,6.0,12,33.0,11,12,20.0,20.0,60.0,46.0,1019.4,1015.2,7.0,5.0,17.6,26.3,0,9,No
24,17.6,33.5,0.0,7.0,13.2,11,48.0,11,13,31.0,22.0,39.0,33.0,1014.9,1014.5,0.0,1.0,27.2,31.7,0,1,No
9,18.7,31.2,0.0,8.6,11.1,9,41.0,6,5,17.0,31.0,48.0,37.0,1015.8,1012.7,1.0,1.0,23.6,29.5,0,3,No
17,11.5,24.5,0.0,7.6,6.1,15,50.0,11,14,9.0,26.0,52.0,34.0,1003.2,1000.1,7.0,6.0,14.5,22.3,0,2,No
7,15.2,29.2,0.0,7.0,9.9,14,37.0,14,11,13.0,19.0,69.0,54.0,1017.7,1012.7,5.0,0.0,24.6,28.0,0,9,No
17,9.4,21.1,0.4,4.8,9.8,5,52.0,7,7,20.0,19.0,52.0,26.0,1009.7,1008.4,5.0,6.0,14.1,19.5,0,2,No
26,11.4,16.4,0.4,2.6,2.7,7,22.0,6,7,6.0,15.0,60.0,50.5,1026.7,1025.6,4.5,4.5,13.2,15.0,0,4,No
6,9.4,29.0,0.0,9.2,11.7,15,31.0,1,15,17.0,19.0,51.0,12.0,1017.4,1013.8,3.0,3.0,18.4,28.2,0,12,No
15,21.5,30.5,0.0,7.4,12.8,1,28.0,2,1,2.0,11.0,57.0,59.0,1015.3,1013.7,3.0,1.0,27.3,28.9,0,1,No
29,9.3,11.9,0.4,0.8,1.3,7,20.0,9,7,7.0,7.0,69.0,63.0,1029.8,1028.1,8.0,7.0,10.1,11.5,0,6,No
8,-0.6,14.0,0.0,1.2,7.1,14,41.0,15,12,2.0,22.0,86.0,59.0,1030.0,1026.3,5.0,5.0,3.7,13.6,0,7,No
27,17.8,28.9,0.0,7.4,10.0,3,44.0,3,3,19.0,33.0,53.0,45.0,1017.6,1013.7,1.0,1.0,24.9,27.6,0,4,No
25,16.9,23.6,0.0,8.0,13.0,0,41.0,2,0,22.0,30.0,60.0,68.0,1022.9,1021.8,1.0,1.0,21.8,22.2,0,1,No
2,5.8,18.9,0.2,4.2,12.7,6,37.0,7,9,11.0,17.0,66.0,32.0,1021.6,1019.2,1.0,5.0,10.7,17.7,0,11,No
20,11.3,18.0,1.8,2.0,6.3,8,52.0,5,7,13.0,28.0,83.0,62.0,1025.7,1025.8,3.0,5.0,12.9,17.6,1,6,No
10,8.6,15.1,0.8,12.4,8.7,5,48.0,9,9,20.0,26.0,76.0,46.0,1019.8,1020.9,6.0,5.0,10.7,14.2,0,5,No
25,18.2,25.9,0.0,7.6,3.6,3,41.0,3,2,15.0,24.0,82.0,76.0,1019.9,1019.6,7.0,8.0,21.9,22.2,0,12,No
7,22.0,29.3,0.0,8.4,10.7,1,39.0,1,4,20.0,26.0,72.0,64.0,1018.1,1014.2,2.0,1.0,25.4,27.3,0,9,No
14,8.5,13.9,0.6,1.8,1.7,7,39.0,9,7,19.0,20.0,78.0,58.0,1025.0,1025.2,6.0,7.0,10.5,13.0,0,5,No
21,22.8,33.5,0.0,7.0,11.0,2,52.0,2,2,20.0,33.0,64.0,21.0,1014.7,1010.4,1.0,0.0,26.8,33.1,0,5,No
18,10.1,23.9,0.2,5.8,3.9,11,35.0,1,11,9.0,13.0,61.0,45.0,1014.9,1012.8,7.0,7.0,16.5,20.5,0,10,No
24,1.2,14.3,0.0,1.0,7.1,10,31.0,4,4,15.0,17.0,81.0,60.0,1019.5,1014.6,6.0,7.0,5.4,13.3,0,5,No
21,19.4,30.1,0.0,5.4,10.7,0,37.0,0,4,22.0,22.0,62.0,38.0,1015.6,1011.6,7.0,1.0,22.9,29.2,0,7,No
2,2.7,14.5,0.0,1.2,9.7,6,26.0,8,8,7.0,13.0,99.0,59.0,1034.7,1032.8,1.0,2.0,5.2,14.2,0,7,No
21,24.7,38.0,0.0,9.8,11.5,2,48.0,3,6,31.0,22.0,22.0,6.0,1014.4,1009.8,1.0,1.0,29.8,37.4,0,10,No
9,14.9,33.9,0.0,6.4,10.5,4,33.0,1,13,20.0,17.0,48.0,21.0,1020.8,1016.5,1.0,4.0,24.0,33.7,0,4,No
18,9.2,24.4,0.0,3.6,9.0,9,22.0,1,7,6.0,13.0,99.0,57.0,1016.3,1012.7,5.0,2.0,11.6,22.2,0,3,No
9,8.5,25.9,0.0,6.2,11.5,13,35.0,5,13,9.0,26.0,58.0,37.0,1016.8,1012.2,1.0,3.0,16.8,24.9,0,3,No
0,7.9,24.2,0.0,5.8,10.8,3,31.0,11,8,9.0,11.0,34.0,13.0,1026.7,1023.8,0.0,0.0,16.1,23.9,0,8,No
11,11.3,21.8,0.0,2.0,5.9,5,31.0,10,5,7.0,11.0,93.0,63.0,1019.5,1018.4,7.0,4.0,14.9,20.4,0,5,No
17,4.0,9.8,0.2,2.2,8.3,8,46.0,12,9,20.0,13.0,59.0,49.0,1006.1,1007.2,4.5,4.5,6.9,7.2,0,8,No
18,7.5,25.2,0.0,4.0,8.2,10,30.0,1,12,4.0,11.0,84.0,36.0,1021.0,1016.6,4.0,7.0,12.4,24.7,0,4,No
0,7.8,14.3,0.0,2.6,4.2,2,20.0,2,11,13.0,9.0,53.0,36.0,1032.5,1029.0,7.0,7.0,9.5,13.2,0,7,No
28,16.4,24.3,1.6,3.4,8.0,8,57.0,5,5,24.0,30.0,74.0,64.0,1019.7,1018.5,6.0,6.0,19.7,23.5,1,2,No
2,4.4,24.0,0.0,4.0,10.7,14,50.0,10,12,20.0,11.0,28.0,14.0,1021.8,1017.5,1.0,1.0,14.5,22.8,0,9,No
15,7.5,21.5,0.0,5.0,10.3,5,19.0,5,1,7.0,13.0,47.0,32.0,1023.4,1019.4,1.0,0.0,14.3,19.8,0,8,No
7,20.6,33.6,0.0,8.0,11.2,4,30.0,13,4,9.0,17.0,66.0,45.0,1011.4,1007.8,4.0,4.0,27.1,32.1,0,3,No
2,6.3,20.6,0.0,3.0,4.2,11,48.0,10,11,28.0,31.0,42.0,18.0,1014.5,1009.8,4.0,7.0,12.9,19.8,0,8,No
28,4.6,17.8,0.2,1.0,8.7,4,24.0,14,4,6.0,15.0,61.0,54.0,1018.5,1016.2,0.0,1.0,13.9,16.9,0,7,No
16,5.6,18.2,0.0,0.8,7.4,12,15.0,11,10,9.0,7.0,100.0,60.0,1020.6,1016.5,6.0,7.0,7.6,18.2,0,5,No
18,6.6,16.2,0.0,3.6,7.1,1,39.0,4,10,20.0,17.0,70.0,53.0,1022.0,1016.7,6.0,7.0,10.4,16.2,0,7,No
24,10.4,20.1,0.4,1.6,10.1,8,39.0,3,6,20.0,24.0,84.0,47.0,1024.9,1023.4,2.0,4.5,15.0,18.9,0,4,No
20,22.3,36.5,0.0,8.0,3.5,9,52.0,2,9,6.0,33.0,50.0,22.0,1003.6,1002.0,7.0,7.0,27.1,34.5,0,1,No
6,16.5,31.3,0.0,8.4,9.1,7,39.0,2,14,9.0,13.0,36.0,25.0,1012.1,1007.7,1.0,7.0,22.7,29.4,0,2,No
18,12.4,25.8,0.0,5.0,10.8,13,31.0,5,9,6.0,13.0,79.0,39.0,1015.6,1012.0,1.0,1.0,15.4,23.7,0,3,No
27,24.6,32.4,0.0,8.0,10.2,3,39.0,6,2,17.0,26.0,61.0,51.0,1009.0,1005.9,7.0,7.0,28.7,31.5,0,3,No
9,8.4,24.9,0.0,5.2,10.6,9,35.0,1,13,13.0,20.0,52.0,46.0,1026.3,1021.2,0.0,1.0,17.4,22.9,0,4,No
21,22.6,32.2,0.0,7.2,9.6,11,35.0,6,11,7.0,22.0,67.0,47.0,1014.8,1010.9,3.0,1.0,27.6,31.6,0,9,No
4,7.0,26.9,0.0,2.8,11.5,8,31.0,7,5,9.0,11.0,46.0,10.0,1016.5,1011.9,0.0,0.0,18.2,26.1,0,9,No
20,10.9,22.1,0.0,2.0,8.5,13,30.0,13,6,24.0,19.0,73.0,56.0,1024.7,1022.9,1.0,7.0,13.4,19.7,0,5,No
25,18.5,24.0,0.0,3.8,10.8,5,30.0,9,9,13.0,20.0,70.0,59.0,1011.5,1009.0,2.0,1.0,22.0,23.8,0,4,No
20,18.6,25.7,0.0,6.0,10.8,1,31.0,4,4,11.0,17.0,60.0,62.0,1017.8,1016.3,4.5,4.5,24.6,24.5,0,4,No
27,21.8,30.5,1.8,10.4,10.9,0,33.0,3,4,17.0,24.0,64.0,57.0,1016.4,1012.7,3.0,1.0,27.6,29.6,1,11,No
7,16.0,27.5,0.0,6.2,5.1,2,46.0,8,2,11.0,24.0,54.0,59.0,1018.3,1015.3,1.0,7.0,23.3,24.7,0,5,No
13,6.4,22.9,0.0,4.0,9.8,2,39.0,15,2,7.0,26.0,86.0,57.0,1021.9,1019.7,2.0,3.0,12.3,21.5,0,3,No
26,11.2,20.3,0.0,4.4,8.0,6,56.0,6,8,20.0,35.0,63.0,48.0,1024.7,1024.5,4.5,4.5,14.8,18.4,0,2,No
2,5.4,18.1,0.0,1.6,4.8,13,31.0,15,9,13.0,15.0,93.0,59.0,1020.5,1018.4,1.0,8.0,8.7,16.4,0,6,No
17,10.5,19.8,0.0,7.4,10.3,9,65.0,13,5,11.0,20.0,43.0,29.0,1017.9,1020.2,4.5,4.5,13.2,18.5,0,2,No
11,5.8,22.2,0.0,5.4,11.5,5,26.0,6,9,6.0,15.0,58.0,42.0,1020.2,1016.8,6.0,6.0,16.1,20.6,0,10,No
9,10.8,19.9,0.0,1.8,4.5,6,35.0,8,6,11.0,19.0,99.0,58.0,1022.8,1020.6,8.0,7.0,11.3,18.3,0,6,No
3,15.8,28.5,0.0,7.6,5.8,1,35.0,1,4,20.0,7.0,68.0,39.0,1026.9,1022.9,6.0,5.0,18.1,26.2,0,3,No
18,9.4,21.4,0.0,3.8,7.4,4,30.0,1,4,11.0,13.0,91.0,48.0,1019.8,1016.0,7.0,5.0,12.9,21.1,0,8,No
17,13.4,28.1,0.0,5.8,6.7,2,30.0,11,10,19.0,15.0,64.0,31.0,1009.5,1001.4,4.5,4.5,14.9,27.5,0,1,No
7,16.4,28.1,0.0,6.6,10.9,4,35.0,3,1,15.0,28.0,60.0,52.0,1017.5,1013.0,1.0,4.5,23.6,26.8,0,5,No
4,8.7,25.9,0.0,4.4,10.2,1,28.0,0,3,13.0,9.0,54.0,27.0,1015.2,1010.0,1.0,5.0,17.7,25.4,0,4,No
27,21.6,24.9,2.0,5.4,0.0,8,41.0,8,8,20.0,22.0,85.0,90.0,1017.3,1014.1,8.0,8.0,22.0,23.4,1,5,No
22,9.0,27.3,0.0,4.6,10.0,14,30.0,14,3,17.0,17.0,50.0,44.0,1022.6,1020.9,1.0,1.0,18.2,24.8,0,4,No
22,13.4,22.5,0.4,1.4,7.0,2,28.0,13,0,4.0,19.0,84.0,61.0,1024.8,1021.8,2.0,5.0,18.6,21.8,0,4,No
18,7.3,14.2,0.0,2.8,7.2,14,43.0,11,11,15.0,24.0,73.0,68.0,1021.6,1020.6,1.0,7.0,10.2,12.3,0,7,No
20,9.5,21.2,0.0,5.2,10.9,10,39.0,13,4,13.0,24.0,60.0,39.0,1025.3,1020.0,1.0,2.0,15.4,20.8,0,9,No
10,12.5,23.2,0.0,6.6,10.6,5,43.0,5,9,24.0,20.0,80.0,50.0,1010.7,1011.1,7.0,4.5,17.3,21.5,0,1,No
18,7.8,15.7,0.0,2.6,8.1,11,46.0,11,11,19.0,20.0,75.0,61.0,1015.7,1011.2,7.0,3.0,10.7,15.2,0,8,No
5,13.2,25.7,0.0,6.922463768115942,10.5,1,44.0,2,0,17.0,20.0,74.0,53.0,1024.9,1021.4,2.0,3.0,19.8,24.8,0,4,No
25,20.5,25.2,0.0,8.0,11.5,1,41.0,1,1,28.0,26.0,70.0,71.0,1018.2,1016.0,5.0,5.0,23.8,24.4,0,12,No
19,15.6,22.2,0.0,6.4,6.9,1,35.0,13,4,9.0,24.0,71.0,64.0,1021.2,1016.0,8.0,6.0,18.3,20.8,0,9,No
7,19.3,28.9,0.2,7.4,6.2,4,22.0,2,4,6.0,13.0,73.0,60.0,1014.5,1010.9,4.0,6.0,25.0,26.7,0,5,No
18,14.9,20.8,0.0,8.4,2.9,7,43.0,6,5,15.0,24.0,62.0,55.0,1014.8,1013.3,7.0,7.0,16.6,18.8,0,1,No
23,12.8,27.2,0.0,7.2,4.2,7,37.96875,12,15,15.0,9.0,23.0,36.0,1010.5,1006.5,8.0,6.0,24.9,26.9,0,10,No
0,7.2,17.5,0.6,2.4,4.4,6,41.0,6,3,26.0,24.0,75.0,54.0,1022.4,1019.0,2.0,8.0,10.5,16.0,0,8,No
19,7.4,18.4,0.0,4.4,9.6,5,26.0,15,12,13.0,11.0,67.0,42.0,1022.8,1017.8,3.0,3.0,10.4,17.6,0,6,No
6,1.6,21.2,0.0,2.4,9.6,15,35.0,1,9,7.0,19.0,73.0,37.0,1024.2,1021.1,1.0,5.0,9.8,20.6,0,4,No
6,10.5,28.0,0.0,5.4,10.1,9,26.0,1,12,13.0,7.0,65.0,32.0,1018.8,1016.7,1.0,2.0,15.4,27.4,0,3,No
23,7.6,20.1,0.0,2.4,7.0,7,37.96875,10,12,9.0,7.0,72.0,40.0,1018.5,1015.8,1.0,4.0,10.0,19.4,0,6,No
1,11.9,29.7,0.0,7.0,8.9,7,37.96875,10,6,2.0,13.0,21.0,10.0,1017.2,1013.9,4.0,6.0,21.2,29.0,0,4,No
18,8.0,20.5,1.0,4.0,3.9,9,33.0,12,15,15.0,11.0,66.0,45.0,1019.5,1017.9,7.0,5.0,13.0,18.8,0,9,No
27,20.0,26.4,1.2,4.2,3.6,3,50.0,6,6,30.0,22.0,79.0,75.0,1019.8,1017.6,7.0,7.0,22.9,23.6,1,6,No
6,15.6,32.4,0.0,11.0,10.7,1,39.0,1,12,13.0,11.0,50.0,22.0,1016.6,1012.9,7.0,3.0,20.8,30.5,0,2,No
20,24.0,33.7,0.0,5.2,6.8,1,43.0,11,1,7.0,28.0,72.0,73.0,1014.7,1011.1,4.5,4.5,27.3,27.8,0,2,No
22,12.8,31.5,0.0,7.4,9.8,15,50.0,11,15,11.0,30.0,64.0,10.0,1013.4,1008.5,2.0,3.0,20.8,30.6,0,10,No
6,11.8,25.8,0.0,6.0,13.2,6,30.0,4,3,13.0,7.0,56.0,35.0,1019.7,1016.2,0.0,3.0,17.0,24.6,0,11,No
25,15.2,20.6,0.0,2.4,10.0,1,37.0,1,0,22.0,22.0,67.0,73.0,1027.8,1026.4,1.0,2.0,19.1,18.7,0,10,No
15,16.2,28.0,0.0,5.6,10.7,1,19.0,9,15,7.0,7.0,59.0,39.0,1018.4,1014.2,1.0,2.0,21.9,27.7,0,4,No
7,11.0,24.7,0.0,3.6,10.9,7,35.0,7,8,17.0,13.0,41.0,29.0,1016.2,1012.6,0.0,0.0,19.2,24.6,0,6,No
23,15.5,20.8,0.0,4.6,8.1,7,37.96875,8,7,4.0,17.0,57.0,63.0,1020.2,1018.7,7.0,3.0,17.0,19.0,0,12,No
16,7.4,15.3,0.0,2.6,5.8,7,30.0,9,7,9.0,19.0,67.0,60.0,1030.3,1029.2,6.0,6.0,10.0,13.5,0,8,No
6,4.2,24.0,0.0,2.8,10.8,9,28.0,2,13,11.0,11.0,57.0,23.0,1023.3,1019.7,1.0,6.0,14.1,23.2,0,4,No
8,-0.8,13.8,0.0,1.8,2.6,6,46.0,6,3,11.0,19.0,76.0,46.0,1029.3,1026.5,3.0,5.0,8.8,12.5,0,6,No
21,24.6,32.9,0.0,5.6,9.7,11,31.0,12,14,13.0,20.0,59.0,44.0,1013.5,1009.5,2.0,3.0,29.3,31.7,0,9,No
18,6.5,20.4,0.2,4.6,8.1,11,54.0,11,9,20.0,26.0,61.0,62.0,1019.4,1018.2,1.0,7.0,15.1,15.2,0,8,No
16,14.6,20.0,0.0,6.2,11.2,7,37.0,6,7,11.0,19.0,65.0,67.0,1020.6,1018.4,7.0,1.0,16.5,18.3,0,12,No
2,0.1,15.8,0.0,2.2,9.1,7,24.0,8,8,6.0,11.0,97.0,48.0,1030.6,1028.9,2.0,4.5,4.1,15.5,0,6,No
14,11.3,25.0,0.0,4.6,9.4,11,39.0,11,10,19.0,22.0,62.0,33.0,1029.7,1026.8,7.0,7.0,16.7,24.5,0,5,No
19,7.5,20.5,0.0,1.8,9.7,14,31.0,14,15,17.0,11.0,77.0,31.0,1026.9,1023.1,1.0,3.0,10.8,20.4,0,6,No
11,12.8,19.4,0.0,3.6,2.9,5,24.0,4,7,4.0,11.0,58.0,50.0,1023.6,1020.8,7.0,7.0,15.4,18.9,0,5,No
7,22.9,31.0,0.0,11.0,12.0,1,37.0,1,1,24.0,26.0,53.0,44.0,1014.6,1011.7,5.0,4.5,27.6,28.8,0,11,No
9,15.9,32.2,0.0,5.4,10.8,15,33.0,10,13,11.0,19.0,46.0,39.0,1012.4,1011.3,0.0,1.0,23.1,30.5,0,3,No
23,12.4,32.3,0.0,5.8,12.4,7,37.96875,11,9,20.0,22.0,20.0,51.0,1012.9,1011.3,0.0,0.0,27.2,22.2,0,10,No
25,16.9,23.8,0.0,6.0,10.4,1,30.0,4,2,17.0,15.0,63.0,61.0,1019.4,1018.5,1.0,3.0,21.8,23.0,0,11,No
17,3.6,16.2,0.0,2.6,8.4,14,43.0,12,14,20.0,20.0,68.0,38.0,1023.2,1018.9,1.0,1.0,7.0,15.9,0,4,No
8,2.7,14.2,0.0,3.2,10.2,15,20.0,2,11,4.0,7.0,71.0,46.0,1028.0,1025.2,7.0,2.0,8.6,13.5,0,8,No
25,17.8,25.4,0.0,6.8,6.5,5,24.0,4,11,11.0,6.0,62.0,66.0,1015.5,1014.2,3.0,7.0,24.0,23.0,0,1,No
6,19.1,32.3,0.0,7.2,12.9,10,35.0,4,11,15.0,15.0,65.0,28.0,1013.4,1009.6,1.0,6.0,23.9,31.3,0,11,No
10,16.6,31.9,0.0,4.8,11.7,3,37.0,0,3,11.0,15.0,55.0,20.0,1019.6,1017.6,4.5,4.5,21.6,31.3,0,3,No
7,23.7,29.2,0.0,10.0,10.8,0,37.0,4,1,20.0,26.0,57.0,53.0,1018.7,1015.1,1.0,1.0,26.7,28.3,0,10,No
12,16.8,26.2,0.0,11.8,0.9,4,35.0,4,4,19.0,9.0,31.0,36.0,1017.5,1014.7,4.5,4.5,22.6,24.8,0,4,No
7,18.2,29.4,0.2,5.6,8.8,1,41.0,3,0,17.0,22.0,60.0,55.0,1015.0,1011.8,5.0,6.0,24.8,27.1,0,5,No
24,2.8,13.5,0.2,0.8,5.1,8,35.0,6,6,13.0,26.0,84.0,52.0,1022.5,1022.3,7.0,4.0,9.8,12.3,0,9,No
28,18.4,28.2,0.0,5.4,11.1,4,41.0,14,4,20.0,26.0,70.0,54.0,1019.9,1017.8,1.0,5.0,23.8,26.8,0,3,No
9,8.4,22.8,0.0,2.2,8.7,11,35.0,4,10,17.0,20.0,46.0,33.0,1018.5,1015.2,1.0,5.0,14.0,21.8,0,6,No
5,16.3,34.0,0.0,6.922463768115942,13.0,5,41.0,2,5,17.0,31.0,49.0,27.0,1015.1,1012.2,4.0,4.5,23.6,31.6,0,1,No
13,10.3,21.9,0.0,5.0,8.6,15,35.0,13,5,22.0,22.0,58.0,47.0,1019.2,1018.0,7.0,4.0,15.6,19.9,0,1,No
19,10.0,18.4,0.4,6.6,10.7,9,67.0,7,7,16.68421052631579,19.454545454545453,49.0,34.0,1018.5500000000002,1015.9320578512396,1.0,3.0,14.5,17.5,0,8,No
27,24.6,34.2,0.0,5.6,9.9,10,37.0,13,11,6.0,19.0,57.0,71.0,1002.7,999.5,3.0,4.0,31.3,30.9,0,2,No
24,8.0,27.8,0.0,5.0,5.6,5,52.0,4,12,9.0,24.0,49.0,20.0,1009.7,1005.8,1.0,5.0,16.2,26.6,0,1,No
21,19.9,33.6,0.0,5.6,11.0,2,50.0,0,1,11.0,19.0,72.0,33.0,1015.2,1011.3,1.0,1.0,25.8,32.6,0,7,No
4,21.6,32.9,0.0,9.6,9.9,5,59.0,10,15,28.0,15.0,58.0,40.0,1012.6,1008.0,3.0,4.0,24.9,32.9,0,1,No
4,6.5,24.8,0.0,3.4,10.6,7,43.0,10,13,20.0,17.0,62.0,27.0,1020.3,1015.2,0.0,2.0,15.8,24.0,0,8,No
14,21.2,29.1,0.0,8.8,4.8,11,43.0,13,9,9.0,13.0,51.0,45.0,1017.0,1015.8,7.0,7.0,21.5,28.2,0,3,No
26,11.3,20.8,0.6,2.8,9.9,7,43.0,5,9,13.0,17.0,60.0,40.0,1016.0,1015.1,4.5,4.5,15.5,19.4,0,1,No
9,0.3,15.9,0.0,0.4,9.0,11,26.0,10,4,9.0,9.0,67.0,30.0,1029.8,1026.9,0.0,0.0,7.0,15.4,0,6,No
12,18.8,33.5,0.0,6.922463768115942,12.4,3,31.0,5,3,13.0,9.0,35.0,20.0,1013.1,1011.7,4.5,4.5,24.5,32.2,0,1,No
2,16.5,39.6,0.0,12.0,12.6,9,43.0,8,9,7.0,19.0,29.0,10.0,1011.2,1008.2,0.0,4.5,25.6,38.3,0,2,No
12,12.9,22.2,1.6,4.2,5.1,9,37.0,5,13,19.0,20.0,67.0,51.0,1015.6,1015.1,4.5,4.5,16.5,22.1,1,12,No
20,17.0,24.5,0.0,5.0,11.2,7,37.96875,13,15,26.0,35.0,38.0,21.0,1002.0,998.7,1.0,2.0,20.1,24.0,0,10,No
7,20.1,31.4,0.0,10.0,6.2,1,39.0,7,0,2.0,11.0,48.0,50.0,1015.9,1012.2,6.0,7.0,26.6,29.6,0,3,No
2,14.1,28.4,0.0,6.6,12.4,8,46.0,8,8,26.0,24.0,52.0,16.0,1014.6,1012.4,1.0,0.0,16.7,26.6,0,12,No
10,11.9,22.2,0.0,4.8,2.2,9,35.0,5,9,9.0,19.0,66.0,39.0,1013.9,1013.1,8.0,8.0,15.4,19.9,0,2,No
27,24.8,31.2,0.0,6.2,10.9,11,37.0,11,10,19.0,20.0,64.0,63.0,1013.3,1008.1,4.0,2.0,28.6,29.6,0,11,No
18,10.4,16.2,1.2,1.6,2.1,11,28.0,12,11,15.0,9.0,81.0,74.0,1025.7,1025.6,6.0,7.0,12.1,14.8,1,6,No
20,20.8,26.0,0.0,8.2,12.2,10,59.0,10,4,9.0,22.0,63.0,70.0,1010.5,1005.7,6.0,2.0,24.2,24.9,0,1,No
1,15.1,21.3,0.0,4.8,9.4,7,35.0,5,6,13.0,15.0,33.0,23.0,1020.5,1017.4,3.0,2.0,17.4,20.8,0,7,No
28,17.5,27.4,0.0,5.6,12.0,0,31.0,0,0,11.0,19.0,67.0,63.0,1014.5,1014.3,5.0,3.0,24.8,26.0,0,1,No
6,0.2,14.0,0.2,0.0,8.8,0,15.0,0,1,6.0,7.0,88.0,49.0,1029.0,1026.4,1.0,1.0,3.8,13.9,0,7,No
18,17.9,33.2,0.8,8.6,5.4,8,31.0,0,6,11.0,9.0,88.0,39.0,1010.4,1006.8,8.0,4.0,18.0,32.5,0,1,No
21,25.6,33.3,1.0,5.8,11.1,15,39.0,13,15,15.0,28.0,71.0,63.0,1011.1,1008.8,3.0,6.0,30.2,32.6,0,2,No
18,10.5,26.2,0.0,4.0,12.9,9,31.0,9,9,7.0,17.0,67.0,35.0,1016.7,1014.9,5.0,4.0,16.9,24.6,0,2,No
