Education,Marital_Status,Income,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Age,Total_Promotions,Children_Number,Total_Spent,Total_Purchases
1,0,82582.0,510,120,550,156,40,241,1,4,9,7,1,0,45,2,0,1617,20
1,1,66373.0,328,9,124,12,24,109,7,4,2,10,3,0,44,0,2,606,16
2,1,82384.0,984,51,432,180,120,190,1,3,10,13,1,0,67,1,0,1957,26
1,0,70287.0,295,35,482,121,120,40,1,5,5,10,3,0,56,0,0,1093,20
1,0,27938.0,13,0,8,2,1,5,1,1,0,4,3,0,34,0,1,29,5
1,0,51381.5,11,3,22,2,2,6,2,2,0,3,6,0,40,0,1,46,5
2,1,55954.0,447,0,28,0,0,43,3,8,2,6,7,0,54,0,1,518,16
2,0,75777.0,712,26,538,69,13,80,1,3,6,11,1,0,40,2,0,1438,20
1,1,66653.0,452,18,102,16,18,6,4,4,2,12,3,0,47,0,2,612,18
1,0,61823.0,523,7,134,37,14,169,4,8,2,10,7,0,70,0,1,884,20
2,0,67680.0,546,0,48,0,6,6,1,7,3,8,5,0,71,0,1,606,18
1,1,70666.0,398,40,367,119,122,30,1,7,4,4,4,0,74,0,0,1076,15
1,1,25721.0,1,3,6,3,6,15,1,1,1,2,7,0,51,0,1,34,4
1,1,32474.0,10,0,1,0,0,0,1,1,0,2,7,0,55,0,2,11,3
0,0,88194.0,688,14,309,201,24,38,1,11,10,10,5,0,43,2,1,1274,31
1,1,69096.0,247,49,159,7,82,109,1,5,2,10,4,0,64,0,1,653,17
1,1,74854.0,856,59,487,58,29,73,7,2,5,5,5,0,52,0,3,1562,12
2,1,66991.0,496,36,460,189,60,12,3,4,8,6,3,0,68,0,0,1253,18
0,1,51381.5,25,3,43,17,4,17,3,3,0,3,8,0,49,0,1,109,6
1,1,65031.0,258,107,291,84,37,86,4,10,3,13,7,0,63,0,1,863,26
2,1,60631.0,565,6,65,0,6,19,5,9,2,8,7,0,47,1,2,661,19
1,1,28332.0,14,10,13,4,15,9,1,2,1,4,2,0,70,0,0,65,7
1,0,40246.0,2,1,6,2,1,1,1,1,0,2,6,0,45,0,1,13,3
2,1,75251.0,721,111,925,97,18,18,1,7,6,5,5,0,50,0,0,1890,18
1,0,75825.0,1032,105,779,137,105,51,0,5,8,9,4,0,46,1,0,2209,22
0,1,26326.0,1,0,5,0,3,9,1,0,0,3,3,1,46,0,0,18,3
1,1,56046.0,577,0,64,0,0,51,2,10,1,8,8,0,57,1,0,692,19
1,0,29760.0,64,4,68,7,5,17,4,3,1,4,8,0,37,0,1,165,8
1,1,26304.0,4,1,5,2,0,4,1,1,0,2,7,0,53,0,1,16,3
0,1,23559.0,25,5,19,7,0,23,3,3,0,3,7,0,49,0,1,79,6
2,1,38620.0,112,17,44,34,22,89,1,2,5,3,3,0,59,0,0,318,10
1,0,81361.0,163,23,424,27,65,76,1,3,10,13,1,0,35,0,0,778,26
1,1,29440.0,17,8,14,10,4,3,2,1,0,4,7,0,62,0,2,56,5
2,1,36138.0,130,0,16,0,0,5,5,3,1,4,7,0,52,1,2,151,8
1,0,50388.0,292,6,37,0,3,34,4,6,1,6,7,0,65,2,1,372,13
1,1,79593.0,350,60,568,110,133,145,1,5,6,7,2,0,49,1,0,1366,18
1,1,54178.0,135,9,39,4,0,7,1,2,2,5,2,0,55,0,1,194,9
2,1,51381.5,230,42,192,49,37,53,12,7,2,8,9,0,65,0,3,603,17
1,0,51381.5,7,0,8,2,0,1,1,1,0,2,7,0,65,0,2,18,3
2,1,51381.5,445,37,359,98,28,18,1,2,4,8,1,0,49,0,0,985,14
2,0,42394.0,15,2,10,0,1,4,1,1,0,3,7,0,50,0,1,32,4
2,1,23626.0,27,2,14,0,0,0,3,3,1,3,5,0,52,0,1,43,7
1,1,30096.0,5,3,11,12,5,9,1,2,0,3,6,0,39,0,1,45,5
1,0,47916.0,505,0,26,0,0,75,5,7,4,6,6,0,62,1,1,606,17
1,0,51813.0,51,2,7,0,1,2,2,2,0,3,7,0,50,0,2,63,5
0,1,78497.0,207,26,447,75,0,223,1,5,7,12,2,0,71,1,0,978,24
2,1,50150.0,135,46,92,65,61,11,2,5,2,7,5,0,39,0,0,410,14
0,0,47823.0,53,1,5,2,1,10,2,2,0,3,8,0,62,0,1,72,5
2,0,34554.0,41,1,6,2,0,5,2,2,0,3,6,0,63,0,1,55,5
1,1,85693.0,386,172,183,185,132,111,2,9,5,11,5,0,43,0,1,1169,25
2,1,65846.0,562,81,276,80,40,81,1,6,3,6,4,0,77,0,0,1120,15
1,1,87195.0,217,76,690,50,26,38,1,3,11,5,1,0,63,0,0,1097,19
0,1,24594.0,1,3,6,10,0,9,1,1,0,3,5,0,43,0,1,29,4
1,1,49096.0,144,1,32,2,1,7,4,4,1,4,7,0,58,0,2,187,9
1,1,52413.0,295,106,271,75,98,65,4,6,4,12,6,0,53,0,2,910,22
1,0,38557.0,76,3,31,4,4,27,2,3,1,3,7,0,44,0,1,145,7
2,1,89058.0,454,194,106,31,22,43,1,5,4,4,2,0,62,0,0,850,13
1,1,77298.0,425,115,292,23,35,79,1,6,6,11,3,0,43,0,1,969,23
2,0,68126.0,1332,17,311,23,51,86,1,7,4,5,9,0,31,1,0,1820,16
2,1,57288.0,527,0,21,0,0,60,3,8,1,8,6,0,59,1,1,608,17
1,0,86037.0,490,44,125,29,20,22,1,6,7,11,3,0,31,2,0,730,24
2,1,43974.0,378,0,101,0,0,72,5,6,4,6,7,0,42,0,1,551,16
1,0,50785.0,64,1,21,0,1,27,2,2,1,3,6,0,60,0,2,114,6
1,1,90765.0,547,99,812,151,82,33,0,4,6,5,1,0,52,2,0,1724,15
0,1,36550.0,47,90,94,123,103,120,5,9,1,5,9,0,44,0,1,577,15
0,1,30753.0,12,5,25,0,9,30,2,1,1,3,5,0,55,0,2,81,5
1,1,21918.0,1,6,7,11,5,3,2,2,0,3,6,0,53,0,1,33,5
2,1,56129.0,320,48,133,39,72,48,4,6,2,10,4,0,69,0,1,660,18
2,0,32557.0,34,3,29,0,4,10,3,2,1,3,5,0,55,0,1,80,6
2,1,19510.0,9,0,7,3,4,7,2,1,0,3,7,0,37,0,2,30,4
1,0,30992.0,17,0,14,7,3,2,1,1,0,3,7,0,46,0,1,43,4
1,0,101970.0,722,27,102,44,72,168,0,6,8,13,2,0,39,3,0,1135,27
0,1,71488.0,162,33,124,40,28,172,2,3,4,7,1,0,57,0,0,559,14
1,0,79607.0,450,133,951,173,0,216,1,3,6,6,1,0,38,0,0,1923,15
2,1,54348.0,70,0,16,0,0,4,2,2,0,4,6,0,69,0,2,90,6
2,1,51381.5,352,0,27,10,0,15,3,6,1,7,6,0,61,0,1,404,14
2,1,77376.0,492,19,110,16,12,12,4,6,3,10,4,0,66,0,2,661,19
1,1,62998.0,120,58,73,65,89,58,5,5,4,5,5,0,70,0,1,463,14
2,0,61331.0,534,5,47,0,5,41,5,11,1,6,8,0,64,0,2,632,18
1,1,73448.0,236,106,189,23,41,130,1,7,2,9,4,0,53,0,0,725,18
1,1,51381.5,231,65,196,38,71,124,1,6,5,7,4,0,59,0,1,725,18
2,1,41551.0,220,0,33,3,0,23,5,5,1,5,8,0,58,0,2,279,11
2,1,62981.0,796,14,590,38,44,0,1,4,5,13,3,0,55,1,0,1482,22
0,0,9548.0,0,1,3,10,6,9,2,1,0,3,8,0,46,0,1,29,4
2,1,33762.0,53,1,34,2,0,16,3,2,2,2,8,0,63,0,3,106,6
2,0,35860.0,15,0,8,4,2,20,2,1,1,2,5,0,49,1,2,49,4
2,0,36921.0,17,1,12,3,1,4,2,2,0,3,7,0,57,0,2,38,5
2,0,92859.0,962,61,921,52,61,20,1,5,4,12,2,0,30,0,0,2077,21
2,1,65104.0,738,0,232,13,20,50,2,3,5,7,7,0,46,0,1,1053,15
1,1,86111.0,399,28,756,36,40,126,1,5,7,10,2,0,60,0,0,1385,22
2,0,68352.0,614,16,132,43,33,33,3,8,5,9,6,0,48,0,1,871,22
1,1,41883.0,32,34,41,73,16,116,3,4,2,3,7,0,34,0,1,312,9
1,1,59809.0,598,16,141,32,41,49,3,3,3,6,8,0,46,0,2,877,12
1,1,23957.0,2,1,18,20,11,16,1,2,0,3,6,0,47,0,1,68,5
1,1,38547.0,6,1,10,0,1,4,1,1,0,2,8,1,41,0,1,22,3
0,1,35688.0,73,3,90,12,1,32,7,4,1,4,8,0,49,0,3,211,9
2,1,49605.0,42,16,29,12,20,8,1,2,1,4,3,0,56,0,0,127,7
2,1,59354.0,295,21,78,39,13,13,1,4,4,7,3,0,69,0,2,459,15
1,1,65747.0,346,17,48,23,13,13,4,8,1,6,6,0,53,1,1,460,15
0,1,46344.0,233,20,57,8,20,91,4,7,1,5,7,0,50,0,1,429,13
1,0,34176.0,5,7,24,19,14,20,4,3,0,4,6,0,34,0,1,89,7
2,1,61010.0,888,0,57,0,0,76,2,8,5,11,5,0,70,0,1,1021,24
1,1,69372.0,997,26,269,34,13,42,1,10,4,6,4,0,73,2,0,1381,20
1,0,49967.0,212,6,69,4,12,3,3,6,1,5,7,0,64,0,1,306,12
1,0,60199.0,8,1,7,2,0,0,1,0,0,3,4,0,44,0,3,18,3
1,1,55375.0,42,11,57,10,28,14,1,1,1,6,2,0,45,0,1,162,8
1,0,80317.0,536,11,387,149,91,57,1,3,4,10,1,0,67,0,0,1231,17
2,0,30523.0,5,0,3,0,0,5,1,1,0,2,7,0,64,0,3,13,3
2,1,70356.0,1349,16,249,43,16,33,2,10,6,9,6,0,77,0,0,1706,25
1,1,23228.0,53,3,49,7,4,5,4,3,0,4,8,0,38,0,1,121,7
2,0,74165.0,1001,12,240,16,12,12,1,5,4,10,2,0,47,0,0,1293,19
2,1,157243.0,20,2,1582,1,2,1,15,0,22,0,0,0,49,0,1,1608,22
1,1,43482.0,18,1,32,6,3,28,3,2,0,4,6,0,56,0,3,88,6
1,0,62551.0,125,16,98,134,21,27,1,6,7,4,3,0,69,1,0,421,17
1,0,52332.0,212,5,33,7,0,2,1,3,2,6,4,0,63,1,0,259,11
1,0,66951.0,277,162,305,173,76,124,1,3,4,7,1,0,34,0,0,1117,14
1,1,26091.0,15,10,19,8,17,20,3,2,1,3,5,0,65,0,2,89,6
1,1,33456.0,7,3,10,8,1,7,2,1,0,3,7,0,57,0,2,36,4
1,1,28718.0,12,4,6,11,8,16,2,2,0,3,8,0,40,0,1,57,5
1,1,50447.0,85,7,24,2,3,27,1,3,1,3,6,0,52,0,2,148,7
2,1,53537.0,81,0,6,0,0,6,2,2,1,3,5,0,63,0,2,93,6
1,0,52074.0,59,0,12,0,0,48,1,2,2,2,4,0,55,1,1,119,6
2,1,80427.0,1149,71,449,69,71,26,1,11,8,8,5,0,47,0,1,1835,27
2,1,83837.0,847,66,119,86,89,111,1,9,10,5,4,0,74,2,0,1318,24
2,1,38853.0,29,0,14,0,0,2,2,2,0,3,7,0,52,0,2,45,5
1,1,38285.0,2,0,5,2,0,1,1,0,0,3,2,0,63,0,3,10,3
0,1,78497.0,207,26,447,75,0,223,1,5,7,12,2,0,71,1,0,978,24
2,1,51650.0,152,3,22,2,5,7,1,4,1,4,5,0,46,0,1,191,9
0,1,16248.0,12,11,10,3,12,9,3,2,1,3,6,0,34,0,1,57,6
2,1,66835.0,620,26,195,34,17,141,1,6,4,13,2,0,76,0,0,1033,23
2,1,30477.0,47,1,6,0,0,12,1,1,1,3,6,0,38,0,1,66,5
0,1,28249.0,1,9,7,2,14,10,1,2,0,3,6,0,61,0,0,43,5
1,1,25271.0,10,1,18,10,4,7,1,1,1,2,9,0,39,0,1,50,4
2,0,32303.0,35,0,2,0,0,2,2,1,0,4,5,0,52,0,1,39,5
1,1,61286.0,356,0,107,19,9,117,2,7,1,8,5,0,56,0,1,608,16
1,1,74068.0,783,30,537,140,76,15,1,4,10,9,2,0,46,0,0,1581,23
2,1,45759.0,42,1,18,3,0,4,2,2,0,3,7,0,58,0,2,68,5
0,1,24882.0,1,4,10,29,0,36,1,1,1,2,6,0,44,1,1,80,4
2,1,66973.0,466,22,432,147,113,102,1,8,7,12,3,0,33,0,0,1282,27
0,0,36640.0,15,6,8,7,4,25,1,2,1,2,5,1,122,0,1,65,5
1,1,38872.0,23,3,21,3,19,22,2,3,0,3,8,0,34,0,1,91,6
1,1,51148.0,235,6,45,8,9,12,4,5,1,6,6,0,49,0,2,315,12
1,1,31353.0,10,0,10,3,1,7,2,1,1,2,8,0,45,0,2,31,4
2,1,69661.0,656,16,106,32,16,8,1,7,3,12,3,0,42,0,0,834,22
1,1,80067.0,519,17,813,27,173,51,1,4,6,6,2,0,68,1,0,1600,16
1,1,86718.0,344,189,482,50,33,172,1,5,6,5,2,0,68,0,0,1270,16
2,0,46854.0,96,1,79,7,1,79,6,5,1,3,8,0,49,1,2,263,9
1,0,69142.0,448,4,34,6,4,39,3,8,1,7,5,0,70,1,1,535,16
1,0,75922.0,265,138,553,224,23,92,1,4,4,9,1,0,54,0,0,1295,17
1,0,63693.0,587,43,337,42,87,54,3,11,6,9,6,0,44,0,1,1150,26
2,1,102160.0,763,29,138,76,176,58,0,7,9,10,4,0,45,3,0,1240,26
2,0,40637.0,22,0,13,0,0,3,2,1,0,3,7,0,57,0,2,38,4
2,0,18890.0,6,4,1,7,2,15,1,0,1,2,6,0,38,1,0,35,3
1,1,29604.0,7,6,13,7,6,14,1,1,0,3,9,0,34,1,1,53,4
2,0,48721.0,81,18,113,47,13,21,6,4,2,5,6,0,59,0,2,293,11
1,1,44794.0,54,0,7,0,0,4,1,2,0,3,6,0,56,0,1,65,5
1,0,64497.0,1170,48,320,42,32,192,5,11,4,9,8,0,68,1,1,1804,24
1,1,46097.0,72,24,68,65,4,8,5,3,1,6,4,0,66,0,1,241,10
1,1,77972.0,613,22,319,33,102,12,1,4,6,9,1,0,68,0,0,1101,19
2,1,44377.0,224,0,30,0,0,10,8,5,1,5,8,0,54,0,2,264,11
2,1,46014.0,410,0,59,19,9,44,10,7,1,8,7,0,48,0,2,541,16
1,1,70951.0,239,10,554,254,87,54,1,3,4,9,1,0,37,0,0,1198,16
1,1,41443.0,171,7,171,25,19,89,6,8,1,5,8,0,45,0,1,482,14
0,0,52195.0,12,0,4,0,0,1,1,1,0,2,8,0,44,0,3,17,3
2,1,83790.0,1076,16,417,42,48,16,1,8,10,6,3,0,74,2,0,1615,24
2,0,44551.0,182,4,33,0,0,66,2,4,1,5,7,0,68,0,1,285,10
1,1,69508.0,824,32,162,42,32,43,2,11,4,11,6,0,42,0,1,1135,26
0,1,45204.0,30,11,25,29,1,18,1,1,1,4,3,0,34,0,1,114,6
1,1,72460.0,377,10,540,80,30,10,1,3,5,7,1,0,53,0,0,1047,15
2,1,77622.0,520,7,154,19,0,14,2,6,3,11,3,0,52,0,2,714,20
2,1,30732.0,155,1,25,0,1,3,4,4,1,4,8,0,42,0,1,185,9
1,0,63887.0,897,23,207,15,11,92,5,9,6,12,6,0,60,0,1,1245,27
1,1,42011.0,131,0,16,2,1,39,4,3,1,4,8,0,44,0,1,189,8
1,1,51369.0,297,7,79,0,11,182,2,8,2,4,8,0,46,0,1,576,14
1,0,51537.0,787,20,204,0,0,92,3,2,2,11,8,0,70,0,1,1103,15
2,1,79930.0,792,86,740,67,51,17,1,3,5,8,2,0,50,0,0,1753,16
2,1,34320.0,4,1,9,3,0,0,1,1,0,2,8,0,36,0,1,17,3
1,0,37070.0,231,7,137,4,15,39,9,5,1,8,7,0,56,0,2,433,14
0,0,81975.0,983,76,184,180,138,27,1,6,3,4,7,0,60,1,1,1588,13
1,1,38590.0,3,1,8,4,3,3,1,1,0,2,8,0,51,0,1,22,3
1,0,15033.0,0,4,5,6,0,4,1,1,0,3,3,0,71,0,0,19,4
2,1,62745.0,562,21,464,28,10,32,3,7,8,11,5,0,57,0,1,1117,26
0,1,22212.0,5,9,20,6,8,21,2,2,0,4,6,0,47,0,1,69,6
2,1,23661.0,18,0,4,0,0,1,1,1,0,3,7,0,40,0,1,23,4
2,0,79761.0,415,5,124,15,35,11,1,5,2,11,3,0,64,0,1,605,18
1,0,7500.0,5,3,10,12,7,20,4,3,1,3,7,0,49,0,1,57,7
0,0,60182.0,8,0,5,7,0,2,1,1,0,2,4,0,129,0,1,22,3
1,0,73455.0,901,61,757,186,163,20,1,6,5,10,3,0,54,1,0,2088,21
1,1,64961.0,382,114,276,75,124,38,2,6,4,4,3,0,64,0,1,1009,14
1,0,22804.0,14,1,7,2,1,1,1,2,0,2,9,0,51,0,1,26,4
1,1,73687.0,559,153,503,218,13,181,1,3,9,9,2,0,32,1,0,1627,21
1,1,61074.0,789,0,133,0,28,152,7,11,5,8,7,0,64,0,1,1102,24
2,1,31686.0,11,0,5,0,0,1,2,1,0,3,6,0,58,0,2,17,4
1,1,80134.0,1218,16,272,104,0,80,2,5,3,6,6,0,50,3,1,1690,14
1,1,75027.0,925,64,179,133,12,77,2,9,4,6,5,0,69,0,1,1390,19
2,1,67546.0,864,134,768,150,38,172,1,4,10,5,3,0,34,0,0,2126,19
2,1,65176.0,960,28,183,220,70,70,4,9,6,6,6,0,53,0,1,1531,21
2,0,31160.0,16,3,25,6,1,13,2,2,0,3,8,0,47,0,1,64,5
1,0,29938.0,3,3,7,0,2,11,2,1,0,3,6,0,37,0,1,26,4
1,0,102692.0,168,148,444,32,172,148,1,6,9,13,2,0,48,4,0,1112,28
0,1,26490.0,45,47,52,21,20,25,2,3,1,5,6,0,64,0,0,210,9
1,1,75702.0,650,28,353,45,42,30,5,4,6,11,8,0,55,0,2,1148,21
2,0,30899.0,24,0,8,0,0,1,2,1,0,3,6,0,48,0,1,33,4
2,1,63342.0,918,21,118,13,10,21,3,8,3,5,6,0,61,1,1,1101,16
1,0,45989.0,138,33,87,28,24,12,4,3,2,7,3,0,58,0,1,322,12
1,0,18701.0,12,4,2,10,6,10,4,2,0,4,5,0,58,0,2,44,6
2,0,40737.0,11,0,4,0,0,2,1,1,0,2,8,0,65,0,3,17,3
1,0,15287.0,1,2,8,4,3,13,2,1,1,2,7,0,43,1,1,31,4
2,0,69674.0,554,41,215,11,0,24,3,10,2,10,5,0,54,0,2,845,22
2,1,44159.0,167,2,62,24,13,7,4,4,1,6,5,0,52,0,1,275,11
2,1,37717.0,9,0,6,4,1,5,1,1,0,2,9,0,44,0,1,25,3
2,1,43776.0,177,2,71,3,2,20,6,5,2,4,8,0,70,0,2,275,11
2,1,38179.0,38,4,22,4,2,20,4,3,1,3,7,0,56,0,2,90,7
1,1,80124.0,483,84,398,205,84,241,1,3,7,8,1,0,59,1,0,1495,18
2,1,38097.0,77,2,35,0,1,69,4,3,2,2,7,0,52,1,2,184,7
1,1,72940.0,182,74,298,162,149,116,1,3,3,6,1,0,52,0,0,981,12
1,1,22070.0,10,7,19,8,2,21,2,2,2,2,6,0,52,0,1,67,6
1,0,69267.0,778,44,499,95,73,146,2,3,4,5,7,0,69,0,0,1635,12
2,0,31788.0,16,7,23,0,8,6,3,3,0,4,5,1,39,0,1,60,7
2,1,61905.0,167,0,43,6,2,13,2,4,2,4,5,0,47,0,1,231,10
1,1,29315.0,13,2,14,8,7,4,4,2,0,4,6,0,62,0,2,48,6
1,0,33378.0,33,6,40,3,7,10,3,2,0,4,7,0,59,0,2,99,6
2,1,66313.0,625,7,99,10,22,7,2,6,3,12,4,0,59,0,1,770,21
1,0,60714.0,216,162,224,101,92,162,2,7,4,10,5,0,66,0,0,957,21
2,1,77882.0,68,129,396,188,22,15,1,3,3,5,1,0,41,0,0,818,11
2,0,69867.0,196,0,512,33,130,54,1,3,5,8,1,0,36,1,0,925,16
2,0,63841.0,635,15,100,20,7,131,1,9,3,9,6,0,54,0,1,908,21
0,1,24480.0,4,19,9,28,25,17,3,3,0,4,7,0,41,0,1,102,7
1,1,51369.0,297,7,79,0,11,182,2,8,2,4,8,0,46,0,1,576,14
1,1,37760.0,84,5,38,150,12,28,2,4,1,6,7,0,76,0,0,317,11
2,1,65640.0,204,7,149,20,15,66,1,5,1,8,2,0,48,0,1,461,14
2,1,44319.0,26,0,8,0,0,3,2,2,0,3,5,0,47,0,2,37,5
1,1,30631.0,15,6,20,4,5,20,1,3,1,2,7,0,48,0,1,70,6
1,1,75278.0,304,98,230,150,74,74,1,6,3,13,3,0,70,0,0,930,22
2,1,50898.0,285,28,242,55,114,135,13,6,2,12,5,0,66,0,2,859,20
1,0,79946.0,395,183,565,166,141,28,1,5,11,5,3,0,56,0,0,1478,21
2,0,35416.0,248,3,81,4,3,51,3,7,1,5,8,0,73,0,0,390,13
0,1,32414.0,20,6,5,0,9,12,1,1,0,3,7,0,38,1,0,52,4
1,1,38361.0,39,0,56,20,8,14,3,3,1,3,7,0,53,0,1,137,7
1,1,82497.0,777,129,573,216,21,203,1,2,7,9,4,0,42,1,0,1919,18
1,1,16626.0,8,3,22,21,1,13,3,3,0,3,9,0,51,0,2,68,6
1,1,29672.0,9,1,3,0,4,8,1,0,0,3,6,0,57,0,2,25,3
2,1,55951.0,1241,0,80,0,13,40,3,3,6,11,8,0,70,2,1,1374,20
0,0,35388.0,6,4,7,4,3,8,1,1,0,3,7,0,34,0,1,32,4
2,1,42386.0,65,4,16,0,4,11,1,3,0,3,8,0,36,0,1,100,6
1,0,68627.0,395,15,263,60,54,38,1,2,3,6,1,0,40,0,0,825,11
2,0,57912.0,801,0,80,0,0,35,5,8,3,12,5,0,57,1,1,916,23
1,0,35246.0,36,0,12,2,2,10,4,3,1,3,5,0,64,0,2,62,7
0,1,58821.0,513,14,154,19,0,28,1,9,2,9,6,0,66,0,1,728,20
2,1,46377.0,37,0,46,4,3,0,1,2,1,3,4,0,44,0,1,90,6
1,0,39747.0,80,15,93,20,13,52,3,5,1,4,8,0,34,0,1,273,10
1,1,23976.0,14,1,21,2,3,25,3,3,1,3,7,0,38,0,1,66,7
2,1,80950.0,525,147,112,219,147,63,1,6,7,9,2,0,61,1,0,1213,22
1,0,27038.0,1,26,25,17,23,15,1,3,0,3,9,0,56,0,0,107,6
1,0,77457.0,675,11,400,15,45,11,1,2,5,10,1,0,75,1,0,1157,17
2,1,64100.0,509,0,27,0,0,10,1,8,3,6,7,0,58,1,1,546,17
2,1,42670.0,154,2,46,20,4,15,1,4,2,4,4,0,30,0,0,241,10
1,0,12571.0,3,5,14,2,12,17,4,3,1,3,6,0,46,0,1,53,7
1,1,22574.0,25,0,8,2,0,2,2,2,0,3,7,0,55,0,3,37,5
1,1,51381.5,861,138,461,60,30,61,1,6,5,12,3,0,33,2,0,1611,23
2,0,70893.0,768,44,561,77,44,14,1,6,6,10,3,0,46,0,0,1508,22
1,1,54198.0,185,0,28,3,2,17,6,3,1,6,4,0,56,0,2,235,10
2,1,28839.0,24,0,7,0,0,1,2,2,0,3,5,0,66,0,2,32,5
